Composer,Piece,Movement
Pyotr Ilyich Tchaikovsky,The Seasons Op. 37a,No. 1 January: By the Fireside
Pyotr Ilyich Tchaikovsky,The Seasons Op. 37a,No. 2 February: Carnival
Pyotr Ilyich Tchaikovsky,The Seasons Op. 37a,No. 3 March: Song of the Lark
Pyotr Ilyich Tchaikovsky,The Seasons Op. 37a,No. 4 April: Snowdrop
Pyotr Ilyich Tchaikovsky,The Seasons Op. 37a,No. 5 May: White Nights
Pyotr Ilyich Tchaikovsky,The Seasons Op. 37a,No. 6 June: Barcarolle
Pyotr Ilyich Tchaikovsky,The Seasons Op. 37a,No. 7 July: Song of the Reaper
Pyotr Ilyich Tchaikovsky,The Seasons Op. 37a,No. 8 August: The Harvest
Pyotr Ilyich Tchaikovsky,The Seasons Op. 37a,No. 9 September: The Hunt
Pyotr Ilyich Tchaikovsky,The Seasons Op. 37a,No. 10 October: Autumn Song
Pyotr Ilyich Tchaikovsky,The Seasons Op. 37a,No. 11 November: Troika
Pyotr Ilyich Tchaikovsky,The Seasons Op. 37a,No. 12 December: Christmas
Pyotr Ilyich Tchaikovsky,Grand Sonata in G major Op. 37,1. Moderato e risoluto
Pyotr Ilyich Tchaikovsky,Grand Sonata in G major Op. 37,2. Andante non troppo quasi moderato
Pyotr Ilyich Tchaikovsky,Grand Sonata in G major Op. 37,3. Scherzo: Allegro giocoso
Pyotr Ilyich Tchaikovsky,Grand Sonata in G major Op. 37,4. Finale: Allegro vivace
Pyotr Ilyich Tchaikovsky,Children's Album Op. 39,No. 1 Morning Prayer
Pyotr Ilyich Tchaikovsky,Children's Album Op. 39,No. 2 Winter Morning
Pyotr Ilyich Tchaikovsky,Children's Album Op. 39,No. 3 Mama
Pyotr Ilyich Tchaikovsky,Children's Album Op. 39,No. 4 The Hobby Horse
Pyotr Ilyich Tchaikovsky,Children's Album Op. 39,No. 5 March of the Tin Soldiers
Pyotr Ilyich Tchaikovsky,Children's Album Op. 39,No. 6 The Sick Doll
Pyotr Ilyich Tchaikovsky,Children's Album Op. 39,No. 7 The Doll's Funeral
Pyotr Ilyich Tchaikovsky,Children's Album Op. 39,No. 8 Waltz
Pyotr Ilyich Tchaikovsky,Children's Album Op. 39,No. 9 The New Doll
Pyotr Ilyich Tchaikovsky,Children's Album Op. 39,No. 10 Mazurka
Pyotr Ilyich Tchaikovsky,Children's Album Op. 39,No. 11 Russian Song
Pyotr Ilyich Tchaikovsky,Children's Album Op. 39,No. 12 The Peasant Plays the Accordion
Pyotr Ilyich Tchaikovsky,Children's Album Op. 39,No. 13 Folk Song
Pyotr Ilyich Tchaikovsky,Children's Album Op. 39,No. 14 Polka
Pyotr Ilyich Tchaikovsky,Children's Album Op. 39,No. 15 Italian Song
Pyotr Ilyich Tchaikovsky,Children's Album Op. 39,No. 16 Old French Song
Pyotr Ilyich Tchaikovsky,Children's Album Op. 39,No. 17 German Song
Pyotr Ilyich Tchaikovsky,Children's Album Op. 39,No. 18 Neapolitan Song
Pyotr Ilyich Tchaikovsky,Children's Album Op. 39,No. 19 The Nurse's Tale
Pyotr Ilyich Tchaikovsky,Children's Album Op. 39,No. 20 The Witch
Pyotr Ilyich Tchaikovsky,Children's Album Op. 39,No. 21 Sweet Dreams
Pyotr Ilyich Tchaikovsky,Children's Album Op. 39,No. 22 Song of the Lark
Pyotr Ilyich Tchaikovsky,Children's Album Op. 39,No. 23 The Organ-Grinder
Pyotr Ilyich Tchaikovsky,Children's Album Op. 39,No. 24 In Church
Pyotr Ilyich Tchaikovsky,Dumka in C minor Op. 59,-
Pyotr Ilyich Tchaikovsky,18 Morceaux Op. 72,No. 1 Impromptu
Pyotr Ilyich Tchaikovsky,18 Morceaux Op. 72,No. 2 Berceuse
Pyotr Ilyich Tchaikovsky,18 Morceaux Op. 72,No. 3 Tendres reproches
Pyotr Ilyich Tchaikovsky,18 Morceaux Op. 72,No. 4 Danse caractéristique
Pyotr Ilyich Tchaikovsky,18 Morceaux Op. 72,No. 5 Méditation
Pyotr Ilyich Tchaikovsky,18 Morceaux Op. 72,No. 6 Mazurque pour danser
Pyotr Ilyich Tchaikovsky,18 Morceaux Op. 72,No. 7 Polacca de concert
Pyotr Ilyich Tchaikovsky,18 Morceaux Op. 72,No. 8 Dialogue
Pyotr Ilyich Tchaikovsky,18 Morceaux Op. 72,No. 9 Un poco di Schumann
Pyotr Ilyich Tchaikovsky,18 Morceaux Op. 72,No. 10 Scherzo-fantaisie
Pyotr Ilyich Tchaikovsky,18 Morceaux Op. 72,No. 11 Valse bluette
Pyotr Ilyich Tchaikovsky,18 Morceaux Op. 72,No. 12 L'Espiègle
Pyotr Ilyich Tchaikovsky,18 Morceaux Op. 72,No. 13 Echo rustique
Pyotr Ilyich Tchaikovsky,18 Morceaux Op. 72,No. 14 Chant élégiaque
Pyotr Ilyich Tchaikovsky,18 Morceaux Op. 72,No. 15 Un poco di Chopin
Pyotr Ilyich Tchaikovsky,18 Morceaux Op. 72,No. 16 Valse à cinq temps
Pyotr Ilyich Tchaikovsky,18 Morceaux Op. 72,No. 17 Passé lointain
Pyotr Ilyich Tchaikovsky,18 Morceaux Op. 72,No. 18 Scène dansante
Pyotr Ilyich Tchaikovsky,Sonata in C♯ minor Op. posth.,1. Allegro
Pyotr Ilyich Tchaikovsky,Sonata in C♯ minor Op. posth.,2. Andante
