Composer,Piece,Movement
Florence Price,Piano Sonata in E minor,1. Allegro
Florence Price,Piano Sonata in E minor,2. Andante
Florence Price,Piano Sonata in E minor,3. Scherzo
Florence Price,Piano Sonata in E minor,4. Finale
Florence Price,3 Little Negro Dances,No. 1 Hoe Cake
Florence Price,3 Little Negro Dances,No. 2 Rabbit Foot
Florence Price,3 Little Negro Dances,No. 3 Ticklin' Toes
Florence Price,Fantasie No. 1 in G minor,-
Florence Price,Fantasie No. 2 in D♭ major,-
Florence Price,Fantasie No. 3 in E major,-
Florence Price,An Afternoon in the Garden,-
Florence Price,Dances in the Canebrakes,No. 1 Nimble Feet
Florence Price,Dances in the Canebrakes,No. 2 Tropical Noon
Florence Price,Dances in the Canebrakes,No. 3 Silk Hat and Walking Cane
Florence Price,Suite of Dances,1. Moderato
Florence Price,Suite of Dances,2. Andante
Florence Price,Suite of Dances,3. Allegro
Florence Price,The Old Boatman,-
Florence Price,Witch of the Meadows,-
Florence Price,The Goblin and the Mosquito,-
Florence Price,Clover Blossom,-
Florence Price,Night,-
Florence Price,Mellow Twilight,-
Florence Price,Memory Mist,-
Florence Price,Clouds,-
Florence Price,Cabin Song,-
Florence Price,Resignation,-
Florence Price,The Butterfly,-
Florence Price,At the Cotton Gin,-
Fanny Mendelssohn,Das Jahr (The Year),Januar
Fanny Mendelssohn,Das Jahr (The Year),Februar
Fanny Mendelssohn,Das Jahr (The Year),März
Fanny Mendelssohn,Das Jahr (The Year),April
Fanny Mendelssohn,Das Jahr (The Year),Mai
Fanny Mendelssohn,Das Jahr (The Year),Juni
Fanny Mendelssohn,Das Jahr (The Year),Juli
Fanny Mendelssohn,Das Jahr (The Year),August
Fanny Mendelssohn,Das Jahr (The Year),September
Fanny Mendelssohn,Das Jahr (The Year),Oktober
Fanny Mendelssohn,Das Jahr (The Year),November
Fanny Mendelssohn,Das Jahr (The Year),Dezember
Fanny Mendelssohn,Das Jahr (The Year),Nachspiel
Fanny Mendelssohn,Piano Sonata in C minor,1. Allegro agitato
Fanny Mendelssohn,Piano Sonata in C minor,2. Adagio
Fanny Mendelssohn,Piano Sonata in C minor,3. Finale: Presto
Fanny Mendelssohn,Piano Sonata in G minor Op. posth.,1. Allegro agitato
Fanny Mendelssohn,Piano Sonata in G minor Op. posth.,2. Largo
Fanny Mendelssohn,Piano Sonata in G minor Op. posth.,3. Allegro molto
Fanny Mendelssohn,6 Melodien Op. 4,No. 1 in G major
Fanny Mendelssohn,6 Melodien Op. 4,No. 2 in A major
Fanny Mendelssohn,6 Melodien Op. 4,No. 3 in A major
Fanny Mendelssohn,6 Melodien Op. 4,No. 4 in A minor
Fanny Mendelssohn,6 Melodien Op. 4,No. 5 in A minor
Fanny Mendelssohn,6 Melodien Op. 4,No. 6 in E major
Fanny Mendelssohn,6 Melodien Op. 5,No. 1 in E major
Fanny Mendelssohn,6 Melodien Op. 5,No. 2 in F minor
Fanny Mendelssohn,6 Melodien Op. 5,No. 3 in G major
Fanny Mendelssohn,6 Melodien Op. 5,No. 4 in B minor
Fanny Mendelssohn,6 Melodien Op. 5,No. 5 in G minor
Fanny Mendelssohn,6 Melodien Op. 5,No. 6 in B major
Fanny Mendelssohn,Allegro agitato in G minor,-
Fanny Mendelssohn,Notturno in G minor,-
Fanny Mendelssohn,Capriccio in A♭ major,-
Fanny Mendelssohn,Prelude in F major,-
Fanny Mendelssohn,Andante cantabile in D major,-
Fanny Mendelssohn,Largo in D minor,-
Fanny Mendelssohn,Fantasie in G minor,-
Fanny Mendelssohn,4 Lieder Op. 6,No. 1 in A major
Fanny Mendelssohn,4 Lieder Op. 6,No. 2 in F major
Fanny Mendelssohn,4 Lieder Op. 6,No. 3 in G major
Fanny Mendelssohn,4 Lieder Op. 6,No. 4 in E major
Amy Beach,Piano Sonata in A minor Op. 149,1. Allegro moderato
Amy Beach,Piano Sonata in A minor Op. 149,2. Adagio espressivo
Amy Beach,Piano Sonata in A minor Op. 149,3. Allegro vivace
Amy Beach,Variations on Balkan Themes Op. 60,-
Amy Beach,Phantoms Op. 25,-
Amy Beach,Bal masqué Op. 22,-
Amy Beach,Scottish Legend Op. 54 No. 1,-
Amy Beach,Fireflies Op. 15 No. 4,-
Amy Beach,A Hermit Thrush at Eve Op. 92 No. 1,-
Amy Beach,A Hermit Thrush at Morn Op. 92 No. 2,-
Amy Beach,Nocturne Op. 107,-
Amy Beach,Three Pieces Op. 128,No. 1 Scherzino
Amy Beach,Three Pieces Op. 128,No. 2 Young Birches
Amy Beach,Three Pieces Op. 128,No. 3 An Old Love Story
Amy Beach,Improvisations Op. 148,No. 1
Amy Beach,Improvisations Op. 148,No. 2
Amy Beach,Improvisations Op. 148,No. 3
Amy Beach,Improvisations Op. 148,No. 4
Amy Beach,Improvisations Op. 148,No. 5
Amy Beach,From Grandmother's Garden Op. 97,No. 1 Morning Glories
Amy Beach,From Grandmother's Garden Op. 97,No. 2 Heartsease
Amy Beach,From Grandmother's Garden Op. 97,No. 3 Mignonette
Amy Beach,From Grandmother's Garden Op. 97,No. 4 Rosemary and Rue
Amy Beach,From Grandmother's Garden Op. 97,No. 5 Honeysuckle
Amy Beach,Tyrolean Valse-Fantasy Op. 116,-
Amy Beach,Suite Française Op. 41,1. Prélude
Amy Beach,Suite Française Op. 41,2. Menuet
Amy Beach,Suite Française Op. 41,3. Gavotte
Amy Beach,Suite Française Op. 41,4. Rigaudon
Clara Schumann,Piano Sonata in G minor Op. posth.,1. Allegro
Clara Schumann,Piano Sonata in G minor Op. posth.,2. Andante
Clara Schumann,Piano Sonata in G minor Op. posth.,3. Scherzo
Clara Schumann,Piano Sonata in G minor Op. posth.,4. Rondo
Clara Schumann,Scherzo No. 1 in D minor Op. 10,-
Clara Schumann,Scherzo No. 2 in C minor Op. 14,-
Clara Schumann,Soirées musicales Op. 6,No. 1 Toccatina in A major
Clara Schumann,Soirées musicales Op. 6,No. 2 Notturno in F major
Clara Schumann,Soirées musicales Op. 6,No. 3 Mazurka in G major
Clara Schumann,Soirées musicales Op. 6,No. 4 Ballade in D minor
Clara Schumann,Soirées musicales Op. 6,No. 5 Mazurka in B major
Clara Schumann,Soirées musicales Op. 6,No. 6 Polonaise in E♭ major
Clara Schumann,Variations de Concert sur la Cavatine du Pirate de Bellini Op. 8,-
Clara Schumann,Valses romantiques Op. 4,No. 1
Clara Schumann,Valses romantiques Op. 4,No. 2
Clara Schumann,Valses romantiques Op. 4,No. 3
Clara Schumann,Valses romantiques Op. 4,No. 4
Clara Schumann,4 Pièces caractéristiques Op. 5,No. 1 Impromptu: Le Sabbat
Clara Schumann,4 Pièces caractéristiques Op. 5,No. 2 Caprice à la Boléro
Clara Schumann,4 Pièces caractéristiques Op. 5,No. 3 Romance
Clara Schumann,4 Pièces caractéristiques Op. 5,No. 4 Scene fantastique: Le Ballet des Revenants
Clara Schumann,Prelude and Fugue in G minor Op. 16 No. 1,-
Clara Schumann,Prelude and Fugue in B♭ major Op. 16 No. 2,-
Clara Schumann,Prelude and Fugue in D minor Op. 16 No. 3,-
Clara Schumann,3 Romanzen Op. 11,No. 1 in E♭ minor
Clara Schumann,3 Romanzen Op. 11,No. 2 in G minor
Clara Schumann,3 Romanzen Op. 11,No. 3 in A♭ major
Clara Schumann,Cadenzas to Beethoven Piano Concertos,Cadenza to Concerto No. 3 in C minor
Clara Schumann,Cadenzas to Beethoven Piano Concertos,Cadenza to Concerto No. 4 in G major
Cécile Chaminade,Piano Sonata in C minor Op. 21,1. Allegro appassionato
Cécile Chaminade,Piano Sonata in C minor Op. 21,2. Andante
Cécile Chaminade,Piano Sonata in C minor Op. 21,3. Finale: Presto
Cécile Chaminade,Romanza Op. 37 No. 1,-
Cécile Chaminade,Pas des écharpes (Scarf Dance) Op. 37 No. 3,-
Cécile Chaminade,Automne Op. 35 No. 2,-
Cécile Chaminade,Arabesque Op. 61,-
Cécile Chaminade,Sérénade Op. 29,-
Cécile Chaminade,Étude symphonique Op. 28,-
Cécile Chaminade,Gavotte Op. 9,-
Cécile Chaminade,La lisonjera Op. 50,-
Cécile Chaminade,Capriccio Op. 18,-
Cécile Chaminade,Les amazones Op. 26,-
Cécile Chaminade,Valse carnavalesque Op. 73,-
Cécile Chaminade,Toccata Op. 39,-
Cécile Chaminade,Andante et Scherzettino Op. 59,1. Andante
Cécile Chaminade,Andante et Scherzettino Op. 59,2. Scherzettino
Cécile Chaminade,Album des enfants Op. 123,No. 1 Prélude
Cécile Chaminade,Album des enfants Op. 123,No. 2 La poupée endormie
Cécile Chaminade,Album des enfants Op. 123,No. 3 La petite fileuse
Cécile Chaminade,Album des enfants Op. 123,No. 4 Boîte à musique
Cécile Chaminade,Album des enfants Op. 123,No. 5 Le Casseur de noix
Cécile Chaminade,Album des enfants Op. 123,No. 6 La petite mendiante
Cécile Chaminade,Album des enfants Op. 123,No. 7 Polichinelle
Cécile Chaminade,Album des enfants Op. 123,No. 8 Berceuse
Cécile Chaminade,Album des enfants Op. 123,No. 9 La leçon de danse
Cécile Chaminade,Album des enfants Op. 123,No. 10 En classe
Cécile Chaminade,Album des enfants Op. 123,No. 11 Sous la tonnelle
Cécile Chaminade,Album des enfants Op. 123,No. 12 Le bébé s'endort
Cécile Chaminade,Album des enfants Op. 123,No. 13 Villanelle
Cécile Chaminade,Album des enfants Op. 123,No. 14 Petit vaudeville
Cécile Chaminade,Album des enfants Op. 123,No. 15 Valse sentimentale
Cécile Chaminade,Album des enfants Op. 123,No. 16 Pas redoublé
Cécile Chaminade,Album des enfants Op. 123,No. 17 La petite gitane
Cécile Chaminade,Album des enfants Op. 123,No. 18 Boléro
